D-A=T,Ürün Kodu,PLM,Renk,DSM Termin,Unnamed: 5,Atölye Termin,Unnamed: 7,Atölye,Kesim Adedi,Fit Onayı,Çizildi,Kesim,Fason Durum,Kumaşçı ,Termin,Dantel ,Sipariş ,Termin ,Etiket,Düğme, Termin,Aksesuar ,Sipariş .1,Termin.1,Sevk Adedi,Fire Adedi,Açıklama
13,TBBSS26AI00074,1152806,Beyaz-Mavi,2026-04-24,4,,0,,,Onaylandı,Çizilmedi,,,-,,-,-,,Hazırlanıyor,-,,-,-,,0,0,
14,TBBAW23AI00032,1153759,Siyah,2026-04-25,4,,0,,,Onaylandı,Çizildi,Tedarik Sürecinde,,-,,-,-,,Hazırlanıyor,-,,-,-,,0,0,Kumaş geldi diye pastal atılmış ama defolu çıktığı için iade edilmiş tekrar sipariş geçildi
14,THMSS26PT00233,1156135,Pembe,2026-04-25,4,,0,,,Onaylandı,Çizilmedi,,,-,,-,-,,Hazırlanıyor,-,,-,-,,0,0,
14,TBBAW26AI00032,1153773,Siyah,2026-04-25,4,,0,Laperissa,400,Onaylandı,Çizildi,Kesildi,Dikim'de,-,,-,-,,Hazırlandı,Kardeşler Düğme,,-,-,,0,400,
16,TBBSS26AI00081,1158813,Koyu Vişne,2026-04-27,4,,0,,,Onaylandı,Çizilmedi,,,-,,-,-,,Hazırlanıyor,-,,-,-,,0,0,
16,TBESS26EL00082,1164626,Çok Renkli,2026-04-27,4,,0,,,Onaylandı,Çizilmedi,,,-,,-,-,,Hazırlanıyor,-,,-,-,,0,0,
16,TBESS26EL00082,1164627,Siyah-Çok Renkli,2026-04-27,4,,0,,,Onaylandı,Çizilmedi,,,-,,-,-,,Hazırlanıyor,-,,-,-,,0,0,
16,THMSS26PT00229,1156817,Pembe,2026-04-27,4,,0,,,Onaylandı,Çizilmedi,,,-,,-,-,,Hazırlanıyor,-,,-,-,,0,0,
16,THMSS26PT00222,1156096,Pembe,2026-04-27,4,,0,,,Onaylandı,Çizilmedi,,,-,,-,-,,Hazırlanıyor,-,,-,-,,0,0,
16,THMSS26PT00227,1155856,Ekru,2026-04-27,4,,0,,,Onaylandı,Çizilmedi,,,-,,-,-,,Hazırlanıyor,-,,-,-,,0,0,
17,TBESS26PR00011,1147973,Çok Renkli,2026-04-28,4,,0,,,Onaylandı,Çizilmedi,,,-,,-,-,,Hazırlanıyor,-,,-,-,,0,0,
17,THMSS25SB00003,1160229,Bordo,2026-04-28,4,,0,,,Onaylandı,Çizilmedi,,,-,,-,-,,Hazırlanıyor,-,,-,-,,0,0,
17,THMAW23SB00011,1168062,Koyu Kahverengi,2026-04-28,4,,0,,,Onaylandı,Çizilmedi,,,-,,-,-,,Hazırlanıyor,-,,-,-,,0,0,
19,TBESS26AU00076,1164619,Siyah,2026-04-30,4,,0,,,Onaylandı,Çizilmedi,,,-,,-,-,,Hazırlanıyor,-,,-,-,,0,0,
19,TBESS26EL00081,1164621,Çok Renkli,2026-04-30,4,,0,,,Onaylandı,Çizilmedi,,,-,,-,-,,Hazırlanıyor,-,,-,-,,0,0,
23,THMSS26PT00245,1166393,Ekru,2026-05-04,4,,0,,,Onaylandı,Çizilmedi,,,-,,-,-,,Hazırlanıyor,-,,-,-,,0,0,
23,THMSS25PT00404,1166086,Ekru,2026-05-04,4,,0,,,Onaylandı,Çizilmedi,,,-,,-,-,,Hazırlanıyor,-,,-,-,,0,0,
23,THMSS26PT00146,1135911,Kırmızı,2026-05-04,4,,0,,,Onaylandı,Çizildi,Tedarik Sürecinde,,-,,-,-,,Hazırlanıyor,-,,-,-,,0,0,
26,TBESS26AU00077,1164709,Kahverengi,2026-05-07,4,,0,,,Onaylandı,Çizilmedi,,,-,,-,-,,Hazırlanıyor,-,,-,-,,0,0,
30,THMSS25PT00404,1166052,Ekru,2026-05-11,4,,0,,,Onaylandı,Çizilmedi,,,-,,-,-,,Hazırlanıyor,-,,-,-,,0,0,
37,THMSS25PT00404,1166001,Ekru,2026-05-18,4,,0,,,Onaylandı,Çizilmedi,,,-,,-,-,,Hazırlanıyor,-,,-,-,,0,0,
