D-A=T,Ürün Kodu,PLM,Renk,DSM Termin,Unnamed: 5,Atölye Termin,Unnamed: 7,Atölye,Kesim Adedi,Fit Onayı,Çizildi,Kesim,Fason Durum,Kumaşçı ,Termin,Dantel ,Sipariş ,Termin ,Etiket,Düğme, Termin,Aksesuar ,Sipariş .1,Termin.1,Sevk Adedi,Fire Adedi,Açıklama
-7,TBBSS24AI00072,1153769,Antrasit ,2026-04-04,0,,0,Laperissa,300,Onaylandı,Çizildi,Kesildi,Ütü Paket'de,,,,,,Hazırlandı,,,,,,,300,
-7,THMSS22GC0018,1157665,Somon,2026-04-04,0,,0,Ayşe,495,Onaylandı,Çizildi,Kesildi,Final,,,,,,Hazırlandı,,,,,,495,0,
-7,THMSS20PT0158,1157670,Pembe,2026-04-04,0,,0,,501,Onaylandı,Çizildi,Kesildi,Dikim Sırasında,-,,-,-,,Hazırlanıyor,-,,-,-,,0,501,
-7,THMSS25SB00003,1157678,Siyah,2026-04-04,0,,0,Hamza,329,Onaylandı,Çizildi,Kesildi,Ütü Paket'de,,,,,,Hazırlandı,,,,,,,329,
-7,THMSS23PT00048,1173694,Çok Renkli,2026-04-04,0,,0,Şener,496,Onaylandı,Çizildi,Kesildi,Final,,,,,,Hazırlandı,,,,,,492,4,
-7,THMSS20PT0158,1157697,Bordo,2026-04-04,0,,0,,410,Onaylandı,Çizildi,Kesildi,Dikim Sırasında,-,,-,-,,Hazırlanıyor,-,,-,-,,0,410,
-7,THMSS22PT0269,1173696,Siyah,2026-04-04,0,,0,Hamza,502,Onaylandı,Çizildi,Kesildi,Final,,,,,,Hazırlandı,,,,,,500,2,
-7,TBBSS25AI00002,1157942,Lacivert,2026-04-04,0,,0,,,Onaylandı,Çizilmedi,Tedarik Sürecinde,,-,,,,,Hazırlanıyor,-,,-,-,,0,0,Kumaş siparişi geçildi
-7,TBBSS25AI00002,1157957,Pembe,2026-04-04,0,,0,,,Onaylandı,Çizilmedi,Tedarik Sürecinde,,-,,-,-,,Hazırlanıyor,-,,-,-,,0,0,Üstü var Alt için kumaş bekleniyor.
-7,TBBSS25AI00002,1157961,Yeşil,2026-04-04,0,,0,,,Onaylandı,Çizilmedi,Tedarik Sürecinde,,-,,-,-,,Hazırlanıyor,-,,-,-,,0,0,
-7,THMSS25PT00141,1158270,Beyaz-Mavi,2026-04-04,0,,0,,,Onaylandı,Çizilmedi,Kesim Sırasında,,-,,-,-,,Hazırlanıyor,-,,-,-,,0,0,02.04.2026 tarihinde kumaş geldi 
-7,TBBAW24AI00040,1159221,Siyah,2026-04-04,0,,0,,,Onaylandı,Çizilmedi,Tedarik Sürecinde,,-,,-,-,,Hazırlanıyor,-,,-,-,,0,0,
-6,test,test,test,2026-04-05,,2026-04-05,,Şener,44444444,,,,Hazırlanıyor,,,,,,,,,,,,,,
-6,THMXXXXXXXXXX,TEST,TEST,2026-04-05,,2026-04-05,,Ayşe,500,,,,Hazırlanıyor,,,,,,,,,,,,,,TEST
-5,THMSS26PT00041,1157700,Lacivert,2026-04-06,1,,0,,,Onaylandı,Çizilmedi,Tedarik Sürecinde,,-,,-,-,,Hazırlanıyor,-,,-,-,,0,0,Kumaş siparişi geçildi 06.04.2026 tarıhıne termin alındı
-5,THMSS22PT0269,1173696,Siyah,2026-04-06,1,,0,Hamza,502,Onaylandı,Çizildi,Kesildi,Dikim'de,-,,-,-,,Hazırlandı,Kardeşler Düğme,,-,-,,0,502,
-5,THMSS25PT00319,1158074,Çok Renkli,2026-04-06,1,,0,,,Onaylandı,Çizildi,Tedarik Sürecinde,,-,,-,-,,Hazırlanıyor,-,,-,-,,0,0,Kumaş siparişi verildi
-5,TBBSS23AI00020,1159213,Siyah,2026-04-06,1,,0,Orhan,404,Onaylandı,Çizildi,Kesildi,Dikim'de,-,,-,-,,Hazırlandı,-,,-,-,,0,404,
-5,TBBSS25AI00015,1160898,Pembe,2026-04-06,1,,0,Laperissa,404,Onaylandı,Çizildi,Kesildi,Dikim'de,-,,-,-,,Hazırlandı,-,,-,-,,0,404,
-5,THMAW26PT00086,1157900,Çok Renkli,2026-04-06,1,,0,,,Onaylandı,Çizildi,Kesim Sırasında,,-,,-,-,,Hazırlanıyor,-,,-,-,,0,0,
-5,TBBAW25AI00027,1128603,Beyaz,2026-04-06,1,,0,,,Onaylandı,Çizildi,Tedarik Sürecinde,,-,,-,-,,Hazırlanıyor,-,,-,-,,0,0,Kumaş Defolu çıktığı için iade edildi Tekrar kumaş siparişi verildi 09.03.2026 tarihine termin verdi 
-4,THMSS24LL00005,1158305,Beyaz,2026-04-07,1,,0,Osman,294,Onaylandı,Çizildi,Kesildi,Dikim'de,-,,-,-,,Hazırlandı,-,,-,-,,0,294,
-4,THMSS26LL00019,1158314,Siyah,2026-04-07,1,,0,Osman,495,Onaylandı,Çizildi,Kesildi,Dikim'de,-,,-,-,,Hazırlandı,-,,-,-,,0,495,
-4,THMAW22AU0237,1159583,Siyah,2026-04-07,1,,0,,,Onaylandı,Çizildi,Kesim Sırasında,,-,,-,-,,Hazırlanıyor,-,,-,-,,0,0,
-4,THMSS22PT0269,1173696,Siyah,2026-04-07,1,,0,,,Onaylandı,Çizildi,Kesim Sırasında,,-,,-,-,,Hazırlanıyor,-,,-,-,,0,0,
-4,THMSS26PT00180,1142115,Çok Renkli - Beyaz,2026-04-07,1,,0,Ayşe,498,Onaylandı,Çizildi,Kesildi,Dikim'de,-,,-,-,,Hazırlandı,-,,-,-,,0,498,
-3,TBBSS25AI00049,1161453,Gri,2026-04-08,1,,0,,,Onaylandı,Çizildi,,,-,,-,-,,Hazırlanıyor,-,,-,-,,0,0,
-3,TBBSS24AI00072,1161450,Bordo,2026-04-08,1,,0,,,Onaylandı,Çizilmedi,,,-,,-,-,,Hazırlanıyor,-,,-,-,,0,0,
-3,THMAW26GC00001,1152707,Sarı,2026-04-08,1,,0,,,Onaylandı,Çizildi,Kesim Sırasında,,-,,-,-,,Hazırlanıyor,-,,-,-,,0,0,Kumaş ve dantel geldi
-3,TBBSS24AI00035,1161455,Lacivert,2026-04-08,1,,0,,,Onaylandı,Çizilmedi,,,-,,-,-,,Hazırlanıyor,-,,-,-,,0,0,
-2,THMAW26PT00089,1159544,Pembe,2026-04-09,1,,0,Laperissa,402,Onaylandı,Çizildi,Kesildi,Final,,,,,,Hazırlandı,,,,,,401,1,
-2,THMSS25PT00404,1166094,Ekru,2026-04-09,1,,0,,397,Onaylandı,Çizildi,Kesildi,Dikim Sırasında,-,,-,-,,Hazırlanıyor,-,,-,-,,0,397,
-1,TBBSS26CH00001,1141279,Lacivert,2026-04-10,1,,0,,,Onaylandı,Çizilmedi,,,-,,-,-,,Hazırlanıyor,-,,-,-,,0,0,
-1,TBBAW23AI00015,1154351,Çok Renkli,2026-04-10,1,,0,,,Onaylandı,Çizildi,Kesim Sırasında,,-,,-,-,,Hazırlanıyor,Kardeşler Düğme,,-,-,,0,0,
